result,result1,result2,result3
う (au) ,"   to meet, to see",Usually used with the particle と (when the two people meet up for an appointment) or に (when the two people meet each other unexpectedly),彼とあいます 
お (ao)  ," blue, azure (noun)",あお空 , Blue sky
おい (aoi) ," blue, azure (adjective)",空はあおい , The sky is blue
か (aka) , red (noun),あか色 , Red
かい (akai) , red (adjective),私はあかい服が好きです , I like red clothes
かるい (akarui) ," light, bright",空があかるい , The sky is bright
き (aki) , autumn,今はあきです , It’s autumn now
く  (aku) , to open (intransitive verb),まどがあく , The window opens
ける (akeru) , to open (transitive verb),まどをあける , Open the window
あげる (ageru) , to give,プレゼントをあげる , Give a present
さ (asa) , morning,あさ7時に起きます , I get up at 7 am
さごはん (asagohan) , breakfast,私はあさごはんを食べました , I ate breakfast
さって (asatte) , day after tomorrow,あさって行きます , I will go the day after tomorrow
し (ashi) ," foot, leg",あしがいたい , My leg hurts
した(ashita) , tomorrow,あしたはにちようびです , Tomorrow is Sunday
そこ (asoko) ," there (place physically distant from both speaker and listener), over there, that place",あそこへ行きたいです , I want to go to that place
そぶ (asobu) ," to play, to enjoy oneself, to have a good time",こどもとあそびます , Play with children
たたかい (atatakai) , warm,きょうはあたたかいです , It’s warm today
たま(atama) , head,あたまがいたいです , I have a headache
たらしい(atarashii) , new,あたらしいくつがほしいです , I want new shoes
ちら(achira) ," there, over there",トイレはあちらです , The toilet is over there
つい(atsui) , hot,きょうはあついです , It’s hot today
つい(atsui) , hot (thing),ふろがあつい , The bath is hot
つい(atsui) , thick,あつい本 , Thick book
っち(acchi) , over there,あっちを見ます , Look over there
と(ato) ," after, later",そのあと ," after that, afterwards"
なた(anata) , you,私はあなたが好きです , I like you
に(ani) , elder brother,あにがいます , I have an elder brother
ね(ane) , elder sister,あねがきらいです , I hate my elder sister
の(ano) , that (someone or something distant from both speaker and listener),あの本はだれのですか , Whose book is that?
の(ano) ," say, well, errr…",,
パート(apaato) , apartment,アパートをかりました , I rented an apartment
びる(abiru) , to take (e.g,"shower), to bathe in",シャワーをあびます 
ぶない(abunai) ," dangerous, risky",あぶないところ , Dangerous place
まい(amai) , sweet,このくすりはあまいです , This medicine tastes sweet / こいはあまい 
まり(amari) ," not very, not much",私はあまりでかけません , I don’t go out very much
め(ame) , rain,あめがふっています , It’s raining
め(ame) , (hard) candy,あめを食べます , Eat candy
らう(arau) , to wash,てをあらいます , I wash my hands
る(aru) ," to be, to have",テレビは私のへやにあります , TV is in my room
るく(aruku) , to walk,私はあるきます , I will walk
れ(are) , that (indicating something distant from both speaker and listener),あれはなんですか , What is that?
い/よい(ii/yoi) ," good, nice",いいそら , Nice sky
いえ(iie) , no,,
う(iu) , to say,うそをいう , Tell a lie
え(ie) ," house, family",いえへかえります , Go home
かが(ikaga) ," how, how about",おちゃはいかがですか , Would you like some tea?
く/ゆく(iku/yuku) , to go,にほんへいきます , Go to Japan
くつ(ikutsu) ," how old?, how many?",おいくつですか , How old are you? / まどはいくつありますか 
くら(ikura) , how much?,いくらですか , How much?
け(ike) , pond,まるいいけ , Round pond
しゃ(ishya) , doctor,いしゃにいきます , Go to the doctor
す(isu) ," chair, stool",いすでねます , Sleep on the chair
そがしい(isogashii) , busy,私はいそがしいです , I’m busy
たい(itai) ," painful, sore",あたまがいたいです , I have a headache
ち(ichi) , one,,
ちにち(ichinichi) , one day,きょうはいちにちあめです , It’s raining all day today
ちばん(ichiban) ," first, first place, best, most",はながいちばん好きです , I like flowers the most
つ(itsu) , when,いつ行きますか , When will you go?
つか(itsuka) ," five days, the fifth day of the month",,
っしょ(isshyo) , together,いっしょに行きます , We will go together
つつ(itsutsu) , five,あめがいつつあります , There are 5 candies
つも(itsumo) ," always, every time",私はいつもいそがしいです , I’m always busy
ぬ(inu) , dog,いぬが好きです , I like dogs
ま(ima) , now,いまはなんじですか , What time is it now?
み(imi) , meaning,あまりいみがありません , It is not very meaningful
もうと(imouto) , younger sister,いもうとがいない , I have no younger sister
や(iya) ," disagreeable, unpleasant",,
りぐち(iriguchi) ," entrance, entry",トイレはいりぐちのひだりです , The toilet is on the left side of the entrance
る(iru) ," to be (of animate objects), to exist",あにがいます , I have an elder brother
る(iru) , to be needed,私は金がいります , I need money
れる(ireru) , to put in,さとうをいれる , Add sugar
ろ(iro) , color,あかいろ , Red
ろいろ(iroiro) ," various, all sorts of, variety of",いろいろなさかなをみました , I saw various fish
え(ue) ," above, up, over",つくえのうえに本があります , There is a book on the desk
しろ(ushiro) ," back, behind",うしろをみます , Look behind
すい(usui) ," thin, light",あじがうすい , Light taste / うすいかみ 
た(uta) , song,このうたが好きです , I like this song
たう(utau) , to sing,うたをうたいます , Sing a song
まれる(umareru) , to be born,あかちゃんがうまれた , The baby was born
み(umi) ," sea, ocean",うみへ行きたいです , I want to go to the sea
る(uru) , to sell,きっぷをうります , Sell tickets
るさい(urusai) , noisy,かれはうるさい , He is noisy
わぎ(uwagi) ," coat, jacket",うわぎをぬぎます , Take off the jacket
(e) ," picture, painting",えをみます , See the picture
いが(eiga) ," movie, film",えいがをみます , Watch movie
いがかん(eigakan) , movie theatre,私はえいがかんに行きたい , I want to go to a movie theatre
いご(eigo) , English (language),えいごでいいます , Say in English
え(ee) ," yes, that is correct, right",,
き(eki) , train station,そのえきへ行きます , I go to that train station
レベーター(erebeetaa) , elevator,エレベーターにのる , Take the elevator
んぴつ(enpitsu) , pencil,えんぴつでかきます  , Write with a pencil
いしい(oishii) ," delicious, tasty",このケーキはおいしいです , This cake is delicious
おい(ooi) ," many, a lot",人がおおいですね , There are many people
おきい(ookii) ," big, large",あのねこはおおきいです , That cat is big
おきな(ookina) ," big, large",おおきなみち , A large road
おぜい(oozei) ," crowd of people, great number of people",そこにはおおぜいの人がいます , There are a large number of people there
かあさん(okaasan) ," mother, mom, mum",あの人が彼のおかあさんです , That person is his mother
かし(okashi) ," sweets, candy",おかしを食べます , Eat sweets
おかね(okane) , money,おかねがほしいです , I want money
おきる(okiru) , to get up,まいあさ 7 時におきます ," Every morning, I get up at 7 o’clock"
おく(oku) ," to put, to place",本をたなにおく , Put the book on the shelf
おくさん(okusan) ," your wife, his wife",あなたのおくさんは日本人ですか , Is your wife Japanese?
おさけ(osake) ," alcohol, sake",おさけを飲みました , I drank alcohol
おさら(osara) ," plate, dish",おさらをあらいます , I will watch the dishes
おじさん(ojisan) , uncle,おじさんのいえへ行きます , I will go to my uncle’s house
おじいさん(ojiisan) , grandfather,あなたのおじいさんはなんさいですか , How old is your grandfather?
おしえる(oshieru) , to teach,彼はえいごをおしえます , He teaches English
おす(osu) , to press,ボタンをおす , Press a button
おそい(osoi) , late,あなたはおそいですね , You are too late
おちゃ(ochya) , tea,おちゃを飲みます , Drink tea
おてあらい(otearai) ," toilet, restroom, bathroom",おてあらいはどこですか , Where is the restroom?
おとうさん(otousan) ," father, dad, daddy",今日はあなたのおとうさんのたんじょうびですか , Is your dad’s birthday today?
おとうと(otouto) , younger brother,おとうとはテレビを見ます , My younger brother watches TV
おとこ(otoko) ," man, male",私はおとこです , I’m a man
おとこのこ(otokonoko) ," boy, male child",あのおとこのこはだれですか , Who is that boy?
おととい(ototoi) , day before yesterday,私はおとといこのとけいをかいました , I bought this clock the day before yesterday
おととし(ototoshi) , year before last,私はおととし日本へ行きました , I went to Japan the year before last
おとな(otona) , adult,私はおとなになりたいです , I want to become an adult
おなか(onaka) ," belly, stomach",おなかがすきました , I’m hungry
おなじ(onaji) , same,私たちはおなじクラスです , We are in the same class
おにいさん(oniisan) , elder brother,あなたのおにいさんはいそがしいですか , Is your elder brother busy?
おねえさん(oneesan) , elder sister,かのじょはあなたのおねえさんですか , Is she your sister?
おばさん(obasan) , aunt,あなたのおばさんは何をしていますか , What does your aunt do?
おばあさん(obaasan) , grandmother,あなたのおばあさんはなんさいですか , How old is your grandmother?
おふろ(ofuro) , bath,おふろにはいりたいです , I want to take a bath
おべんとう(obentou) ," bento, Japanese box lunch",おべんとうをつくります , I will make bento
おぼえる(oboeru) ," to memorize, to remember",なまえをおぼえる , Memorize the name
おまわりさん(omawarisan) , police officer,おまわりさんにみちをたずねる , Ask the police officer for directions
おもい(omoi) , heavy,これはおもいです , This is heavy
おもしろい(omoshiroi) , interesting,この本はおもしろいです , This book is interesting
およぐ(oyogu) , to swim,うみでおよぎます , I swim in the ocean
おりる(oriru) ," to get off, to alight (e.g",from bus),バスをおりる 
おわる(owaru) ," to finish, to end",なつがおわりました , Summer has ended
おんがく(ongaku) , music,おんがくをききます , I listen to music
おんな(onna) ," woman, female",私はおんなです , I’m a woman
おんなのこ(onnanoko) , girl,あのおんなのこは 8 さいです , That girl is 8 years old
がいこく(gaikoku) , foreign country,がいこくに行きます , I will go abroad
がいこくじん(gaikokujin) , foreigner,彼はがいこくじんです , He is a foreigner
かいしゃ(kaishya) , company,かいしゃをつくります , I will establish a company
かいだん(kaidan) ," stairs, stairway",かいだんをのぼる , Climb the stairs
かいもの(kaimono) , shopping,かいものに行きます , I will go shopping
かう(kau) , to buy,この本をかいます , I will buy this book
かえす(kaesu) , to return (something),としょかんに本をかえします , I return the book to the library
かえる(kaeru) ," to return , to go home",いえにかえります , I go home
かお(kao) , face,かのじょのかおはかわいいです , Her face is cute
かかる(kakaru) , to take (e.g,time or money),おかねがかかる 
かぎ(kagi) , key,かぎをかける , Lock the door
かく(kaku) , to write,にっきをかきます , Write a diary
がくせい(gakusei) , student,私はがくせいです , I’m a student
かける(kakeru) , to hang up (e.g,"a coat, a picture on the wall)",コートをハンガーにかける 
かける(kakeru) , to make (a call),でんわをかける , Make a call
かさ(kasa) , umbrella,かさをさす , Put up an umbrella
かす(kasu) , to lend,私は彼にかねをかしました , I lent him money
かぜ(kaze) , wind,かぜがふく , The wind is blowing
かぜ(kaze) ," common cold, flu",かぜをひきました , I caught a cold
かた(kata) ," person, lady, gentleman",,
かぞく(kazoku) , family,かぞくは何人いますか , How many people are there in your family?
かたかな(katakana) ," katakana, angular Japanese syllabary used primarily for loanwords",,
がっこう(gakkou) , school,がっこうへ行きます , I go to school
カップ(kappu) , cup,カップをかいます , I buy a cup
かてい(katei) ," home, family, household",たのしいかてい , Happy family
かど(kado) , corner,,
かばん(kaban) , bag,あたらしいかばんをかいます , I will buy a new bag
かびん(kabin) , (flower) vase,かびんをこわしました , I broke the vase
かぶる(kaburu) ," to put on (one’s head), to wear",ぼうしをかぶります , Wear a hat
かみ(kami) , paper,うすいかみ , Thin paper
カメラ(kamera) , camera,あたらしいカメラがほしいです , I want a new camera
かようび(kayoubi) , Tuesday,今日はかようびです , Today is Tuesday
からい(karai) , spicy,それはからいです , That’s spicy
からだ(karada) , body,からだがよわい , Weak body
かりる(kariru) , to borrow,本をかりる , Borrow a book
かるい(karui) , light (i.e,not heavy),このパソコンはかるいです 
カレー(karee) , curry,このカレーはおいしいです , This curry is delicious
カレンダー(karendaa) , calendar,カレンダーをかべにかけます , Hang the calendar on the wall
かわ(kawa) , river,そのかわはおおきいです , This river is big
～がわ(gawa) ," side (of something, or taking someone’s side)",ひだりがわ , Left side
かわいい(kawaii) ," cute, adorable",あのおんなのこはかわいいです , That girl is cute
かんじ(kanji) ," Chinese characters, kanji",かんじがむずかしいです , Kanji is difficult
き(ki) , tree,このきはおおきいです , This tree is big
きいろ(kiiro) ," yellow, amber",きいろのかみ , Yellow paper
きいろい(kiiroi) , yellow (adj),きいろくなる , To turn yellow
きえる(kieru) ," to vanish, to disappear",そらにきえる , To vanish into the air
きく(kiku) ," to hear, to listen, to ask",CD をきく , Listen to CD / いけんをきく 
きた(kita) , north,きたをむく , Face north
ギター(gitaa) , guitar,ギターをひきます , Play the guitar
きたない(kitanai) , dirty,私のへやはきたないです , My room is dirty
きっさてん(kissaten) , coffee shop,きっさてんへ行きます , I go to the coffee shop
きって(kitte) , stamp (postage),きってをかいます , I buy stamps
きっぷ(kippu) , ticket,きっぷをうります , Sell tickets
きのう(kinou) , yesterday,きのうはかようびです , Yesterday is Tuesday
きゅう(kyuu) , 9,,
ぎゅうにく(gyuuniku) , beef,ぎゅうにくが好きです , I like beef
ぎゅうにゅう(gyuunyuu) , (cow’s) milk,ぎゅうにゅうを飲みます , I drink milk
きょう(kyou) , today,きょうはあついです , It’s hot today
きょうしつ(kyoushitsu) , classroom,きょうしつで食べます , I eat in the classroom
きょうだい(kyoudai) ," siblings, brothers",彼はきょうだいがいますか , Does he have any brothers?
きょねん(kyonen) , last year,きょねん彼にあいました , I met him last year
きらい(kirai) ," disliked, hated",私はいぬがきらいです , I hate dogs
きる(kiru) , to cut,かみをきる , To cut the hair
きる(kiru) , to wear,ふくをきる , To wear clothes
きれい(kirei) ," beautiful, clean",かのじょはきれいです , She is beautiful / このかわのみずはきれいです 
キロ/キログラム(kiro/kiroguramu) , kilogram,100キログラム , 100kg
キロ/キロメートル(kiro/kiromeetoru) , kilometre,1キロメートル泳ぎます , I swim 1km
ぎんこう(ginkou) , bank,私はぎんこうへ行きました , I went to the bank
きんようび(kinyoubi) , Friday,あしたはきんようびです , Tomorrow is Friday
く(ku) , 9,,
くすり(kusuri) , medicine,くすりを飲みます , I take medicine
くだもの(kudamono) , fruit,くだものを食べます , I eat fruit
くち(kuchi) , mouth,くちをだす , To interfere in a matter
くつ(kutsu) , shoes,くつをはく , To put on one’s shoes
くつした(kutsushita) ," socks, stockings",くつしたをぬぐ , To take off one’s stockings
くに(kuni) , country,くにへかえります , I will return to my country
くもり(kumori) ," cloudiness, cloudy weather",きょうはくもりです , It’s cloudy today
くもる(kumoru) ," to get cloudy, to become overcast",そらがくもる , The sky becomes overcast
くらい(kurai) , dark,ここはくらいです , It’s dark here
クラス (kurasu) , class,彼はクラスでいちばんです , He is top of the class
グラム (guramu) , gram,100グラム , 100 gram
くる (kuru) , to come,あなたはいつきますか , When will you come?
くるま (kuruma) , car,くるまをかいました , I bought a car
くろ(kuro) , black (noun),くろビール , Dark beer
くろい(kuroi) , black (adjective),くろいふくをきます , I wear black clothes
けいかん(keikan) , police officer,私はけいかんです , I’m a police officer
けさ(kesa) , this morning,けさはあめでした , It was raining this morning
けす(kesu) , to turn off power,でんきをけします , I turn off the light
けっこう(kekkou) ," fine, nice",それでけっこうです , That’s fine
けっこん（する）(kekkon(suru)) , marriage,私はけっこんしたいです , I want to get marriage
げつようび(getsuyoubi) , Monday,きょうはげつようびです , Today is Monday
げんかん(genkan) ," entrance, front door",げんかんでくつをぬぎます , I take off my shoes at the front door
げんき(genki) ," healthy, well",おげんきですか , How are you?
～こ(ko) , counter for small compact objects,,
ご(go) , five,,
～ご(go) , language,えいご , English
こうえん(kouen) , park,こうえんに行きます , I will go to the park
こうさてん(kousaten) ," crossing, intersection",こうさてんを左にまがる , Turn left at the intersection
こうちゃ(koucha) , black tea,こうちゃを飲みます , I drink black tea
こうばん(kouban) , police box,私はこうばんではたらきたいです, I want to work at a police box
こえ(koe) , voice,こえをかける , To call out / To start talking
コート(kotoo) , coat,コートをきる , To wear a coat
コーヒー(koohii) , coffee,コーヒーを飲みません , I don’t drink coffee
ここ(koko) ," here, this place",ここはくらいです , It’s dark here
ごご(gogo) ," afternoon, p.m",ごご 4 時にかえります , I will return at 4 p.m.
ここのか(kokonoka) ," nine days, the ninth day of the month",,
ここのつ(kokonotsu) , nine,,
ごぜん(gozen) ," morning, a.m",私はごぜん 6 時にがっこうに行きました , I went to school at 6 a.m.
こたえる(kotaeru) , to answer,クイズにこたえます , I will answer the quiz
こちら(kochira) ," this direction, this person",こちらはたなかです , This is Tanaka / こちらへどうぞ 
こっち(kocchi) ," this direction, this person",こっちを見る , To look over here
コップ(koppu) , cup,コップをかいました , I bought a cup
ことし(kotoshi) , this year,ことしはあついです , It’s hot this year
ことば(kotoba) , word,ことばをはなす , To express in words
こども(kodomo) , child,こどもとあそびます , I play with children
この(kono) , this ~ (something near the speaker),この本はおもしろいです , This book is interesting
ごはん(gohan) ," cooked rice, meal",ごはんを食べます , Eat rice / Have a meal
コピー・する(kopiisuru) , copy,てがみをコピーします , I copy the letter
こまる(komaru) , to be troubled,それはこまる , That will be trouble
これ(kore) ," this (indicating an item near the speaker, the action of the speaker, or the current topic)",これはなんですか , What is this?
こんげつ(kongetsu) , this month,こんげつはいそがしいです , I’m busy this month
こんしゅう(konshyuu) , this week,こんしゅうはさむいです , It’s cold this week
こんな(konna) ," such, like this",こんなあめのひはでかけません , I don’t go out on such a rainy day
こんばん (konban) ," tonight, this evening",こんばんでんわします , I’ll call you tonight
さあ (saa) ," well now, there we go, all right",,
さいふ (saifu) ," purse, wallet",さいふをなくしました , I lost my wallet
さかな (sakana) , fish,さかなをつる , To catch a fish
さき (saki) ," first, earlier",おさきにしつれいします , Pardon me for leaving first
さく (saku) , to bloom,はながさく , The flower blooms
さくぶん (sakubun) ," composition, essay, paper",さくぶんをかきます , I write a paper.
さす (sasu) ," to hold up (an umbrella), to point",かさをさす , To hold up an umbrella / ゆびをさす 
～さつ (~satsu) , counter for books,本をいっさつかいました , I bought a book
ざっし (zasshi) ," journal, magazine",ざっしをよみます , I read magazine
